Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,36.290001,36.290001,35.250000,35.500000,35.500000,33800
2021-04-16,35.770000,35.910000,35.250000,35.830002,35.830002,51600
2021-04-19,35.700001,36.119999,35.299999,35.840000,35.840000,75500
2021-04-20,36.009998,36.139999,35.230000,35.990002,35.990002,104600
2021-04-21,36.080002,36.639999,35.830002,36.029999,36.029999,55000
2021-04-22,36.900002,38.209999,36.380001,37.689999,37.689999,184800
2021-04-23,38.340000,38.990002,37.770000,37.919998,37.919998,107400
2021-04-26,38.279999,38.279999,37.549999,37.770000,37.770000,172200
2021-04-27,37.930000,38.180000,37.630001,37.730000,37.730000,85500
2021-04-28,37.790001,38.299999,37.310001,38.230000,38.230000,63700
2021-04-29,38.340000,38.340000,37.590000,37.810001,37.810001,53000
